Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
44,6619298,1,(not listed),White,40296,Arch 1 x 8 x 2 Raised,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,6062279 6313647,16577 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6619298
45,300501,240,BRICK 1X1,White,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552096,300551 6548258,3005 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300501
46,6055541,12,BRICK 1X1X3,White,14716,Brick 1 x 1 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,6548277,,14716 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6055541
47,300401,54,BRICK 1X2,White,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6548257,4613964,3004 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300401
48,287701,1,PROFILE BRICK 1X2,White,2877,Brick 1 x 2 with Grille,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,,6552093,,2877 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=287701
49,301001,4,BRICK 1X4,White,3010,Brick 1 x 4,On Pick a Brick (late-2025 listing),0.16,late 2025,,6550135,,3010 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=301001
50,300901,4,BRICK 1X6,White,3009,Brick 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,6552097,300951 6548259,3009 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300901
51,300801,4,BRICK 1X8,White,3008,Brick 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.29,2022,,6550134,,3008 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300801
52,6601920,1,(not listed),White,6143,Brick 2 x 2 Round,Not on the Pick a Brick listings checked; in LEGO sets in 2026,,,,,394101 614301 614351,3941 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6601920
53,306201,12,ROUND BRICK 1X1,White,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6619283,,3062 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=306201
