ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3832.dat,2,Dark Green,3832,6,Green,3832,3832,383228,,2026,18,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3832.dat,72,Dark Stone Grey,3832,85,Dark Bluish Gray,3832,3832,4210678,,2026,98,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
4162.dat,4,Bright Red,4162,5,Red,4162,4162,416221,,2026,44,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4162.dat,72,Dark Stone Grey,4162,85,Dark Bluish Gray,4162,4162,4211008,5210651,2026,81,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4286.dat,72,Dark Stone Grey,4286,85,Dark Bluish Gray,4286,4286,4211045,,2026,36,,yes,,0.11,ROOF TILE 1X3/25°,"likely (current, listed 2022)"
4477.dat,72,Dark Stone Grey,4477,85,Dark Bluish Gray,4477,4477,4257526,4210816,2026,98,,yes,,0.18,PLATE 1X10,"likely (current, listed 2022)"
4589.dat,2,Dark Green,4589b,6,Green,59900,59900,4529239,4188820 458928,2026,39,,yes,,0.07,NOSE CONE SMALL 1X1,"likely (current, listed 2022)"
4589.dat,15,White,4589b,1,White,59900,59900,4518400,458901 6601844,2026,99,,yes,,0.07,NOSE CONE SMALL 1X1,"likely (current, listed 2022)"
50950.dat,15,White,50950,1,White,50950,50950,4249112,6548268,2026,60,,yes,,0.13,Brick w/bow 1/3,"likely (current, listed 2022)"
50950.dat,72,Dark Stone Grey,50950,85,Dark Bluish Gray,50950,50950,4246896,,2026,31,,yes,,0.13,Brick w/bow 1/3,"likely (current, listed 2022)"
60479.dat,71,Medium Stone Grey,60479,86,Light Bluish Gray,60479,60479,4514846,,2026,67,,,,,,likely (in current sets)
6141.dat,15,White,4073,1,White,6141,6141,614101,6601919,2026,203,,yes,,0.06,ROUND PLATE 1X1,"likely (current, listed 2022)"
6141.dat,297,Warm Gold,4073,115,Pearl Gold,6141,6141,4523159,,2026,144,,,,,,likely (in current sets)
63864.dat,72,Dark Stone Grey,63864,85,Dark Bluish Gray,63864,63864,4568734,,2026,104,,yes,,0.11,FLAT TILE 1x3,"likely (current, listed 2022)"
6636.dat,4,Bright Red,6636,5,Red,6636,6636,4113858,,2026,73,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
6636.dat,15,White,6636,1,White,6636,6636,663601,6548296,2026,131,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
6636.dat,72,Dark Stone Grey,6636,85,Dark Bluish Gray,6636,6636,4210651,,2026,92,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
87087.dat,15,White,87087,1,White,87087,87087,4558952,6550190,2026,121,,yes,,0.13,BRICK 1X1 W. 1 KNOB,"likely (current, listed 2022)"
91405.dat,72,Dark Stone Grey,91405,85,Dark Bluish Gray,91405,91405,6004927,,2026,13,,yes,,3.04,PLATE 16X16,"likely (current, listed 2022)"
98138.dat,0,Black,98138,11,Black,98138,35381,6284070,6139403,2026,160,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
