Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
36,4211100,3,BRICK 1X6,Dark Stone Grey,3009,Brick 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3009 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211100
37,4210719,2,PLATE 1X1,Dark Stone Grey,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,,3024 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210719
38,4257526,2,PLATE 1X10,Dark Stone Grey,4477,Plate 1 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,,4210816,4477 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4257526
39,4211133,12,PLATE 1X3,Dark Stone Grey,3623,Plate 1 x 3,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,,,3623 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211133
40,4211001,1,PLATE 1X4,Dark Stone Grey,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,,,,3710 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211001
41,4211056,1,PLATE 1X6,Dark Stone Grey,3666,Plate 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3666 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211056
42,6004927,6,PLATE 16X16,Dark Stone Grey,91405,Plate 16 x 16,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,3.04,2022,,,,91405 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6004927
43,4210678,5,PLATE 2X10,Dark Stone Grey,3832,Plate 2 x 10,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3832 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4210678
44,4211067,5,PLATE 2X12,Dark Stone Grey,2445,Plate 2 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.35,2022,,,,2445 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211067
45,4211043,5,PLATE 2X3,Dark Stone Grey,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Dark Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211043
