Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
49,6020923,17,PLATE 1X4,Earth Green,3710,Plate 1 x 4,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6618083,4245568 6013799,3710 / Dark Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6020923
50,4211412,2,ROUND BRICK 1X1,Medium Stone Grey,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,3062 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211412
51,4211399,2,PLATE 1X1,Medium Stone Grey,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,,3024 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211399
52,4211425,2,PLATE 1X8,Medium Stone Grey,3460,Plate 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.18,2022,,,,3460 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211425
53,4211396,16,PLATE 2X3,Medium Stone Grey,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,3021 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211396
54,4211452,10,PLATE 2X6,Medium Stone Grey,3795,Plate 2 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.19,2022,,,3795194,3795 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211452
55,4211406,6,PLATE 2X8,Medium Stone Grey,3034,Plate 2 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.25,2022,,,,3034 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211406
56,4211400,2,PLATE 6X12,Medium Stone Grey,3028,Plate 6 x 12,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,1.34,2022,,,,3028 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211400
57,4558169,18,FLAT TILE 1x3,Medium Stone Grey,63864,Tile 1 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.11,2022,yes,,,63864 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4558169
58,4211356,48,FLAT TILE 1X4,Medium Stone Grey,2431,Tile 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.13,2022,yes,,2431194,2431 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211356
59,4211549,12,FLAT TILE 1X6,Medium Stone Grey,6636,Tile 1 x 6,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,6636 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211549
60,4211481,18,FLAT TILE 1X8,Medium Stone Grey,4162,Tile 1 x 8,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,yes,,,4162 / Light Bluish Gray,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211481
61,4211183,60,ROUND BRICK 1X1,Reddish Brown,3062,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,,,3062 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211183
62,365901,2,BRICK W. BOW 1X4,White,3659,Arch 1 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,6550145,,3659 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=365901
63,4620761,3,BRICK 1X6 W/INSIDE BOW,White,92950,Arch 1 x 6 Raised,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,6601942,,92950 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4620761
64,300501,384,BRICK 1X1,White,3005,Brick 1 x 1,On Pick a Brick (late-2025 listing),0.07,late 2025,yes,6552096,300551 6548258,3005 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300501
65,300401,25,BRICK 1X2,White,3004,Brick 1 x 2,On Pick a Brick (late-2025 listing),0.1,late 2025,yes,6548257,4613964,3004 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=300401
66,362201,16,BRICK 1X3,White,3622,Brick 1 x 3,On Pick a Brick (late-2025 listing),0.14,late 2025,yes,6550143,,3622 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=362201
