Element ID,Quantity,Description,LEGO colour,Design ID,BrickLink part,BrickLink colour,Alternate element IDs,Last year in a set,Availability (from data),Pick a Brick unit price seen (USD)
306201,2,Brick Round 1 x 1,White,3062,3062,White,6619283,2026,"likely (current, listed 2022)",0.06
302401,90,Plate 1 x 1,White,3024,3024,White,6548262,2026,listed on Pick a Brick (2025),0.05
447701,34,Plate 1 x 10,White,4477,4477,White,6550148 6552113,2026,"likely (current, listed 2022)",0.18
4514842,23,Plate 1 x 12,White,60479,60479,White,6548269 6552130,2026,"likely (current, listed 2022)",0.25
302301,1,Plate 1 x 2,White,3023,3023,White,6548261 6552100,2026,listed on Pick a Brick (2025),0.07
362301,20,Plate 1 x 3,White,3623,3623,White,6550144 6552105,2026,listed on Pick a Brick (2025),0.07
371001,20,Plate 1 x 4,White,3710,3710,White,371051 6548266 6552108,2026,listed on Pick a Brick (2025),0.10
366601,34,Plate 1 x 6,White,3666,3666,White,6548265 6552107,2026,"likely (current, listed 2022)",0.14
346001,30,Plate 1 x 8,White,3460,3460,White,6550141,2026,"likely (current, listed 2022)",0.18
244501,1,Plate 2 x 12,White,2445,2445,White,6552091,2026,"likely (current, listed 2022)",0.35
302101,38,Plate 2 x 3,White,3021,3021,White,6550136,2026,"likely (current, listed 2022)",0.14
379501,13,Plate 2 x 6,White,3795,3795,White,6550146,2027,"likely (current, listed 2022)",0.19
303401,31,Plate 2 x 8,White,3034,3034,White,6552101,2026,"likely (current, listed 2022)",0.25
4168072,1,Plate 4 x 12,White,3029,3029,White,302901,2026,"likely (current, listed 2022)",0.70
4144012,14,Plate 6 x 6,White,3958,3958,White,395801 6552116,2026,"likely (current, listed 2022)",0.50
6034044,2,Slope Curved 2 x 1,White,11477,11477,White,6548276 6552145,2026,"likely (current, listed 2022)",0.06
654101,4,Technic Brick 1 x 1 with Hole,White,6541,6541,White,6609542,2026,"likely (current, listed 2022)",0.07
370001,4,Technic Brick 1 x 2 with Hole,White,3700,3700,White,6619284,2026,"likely (current, listed 2022)",0.11
