Line,Element ID,Quantity,Pick a Brick name,LEGO colour,Design ID,Part (booklet name),Evidence,Last Pick a Brick price (USD),Price seen,Over 10 needed,"If not found, try element ID",Other element IDs,Backup: BrickLink item / colour,Pick a Brick search
14,6253884,4,"PLANT, W/ PLATE 1X1, NO. 1",Bright Orange,32607,Plant Plate Round 1 x 1 with 3 Leaves,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,32607 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6253884
15,4524929,2,PLATE 1X1,Bright Orange,3024,Plate 1 x 1,On Pick a Brick (late-2025 listing),0.05,late 2025,,,4122463 4160471 4203454,3024 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4524929
16,4177932,2,PLATE 1X2,Bright Orange,3023,Plate 1 x 2,On Pick a Brick (late-2025 listing),0.07,late 2025,,,4122464 4163009,3023 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4177932
17,4125278,2,PLATE 2X3,Bright Orange,3021,Plate 2 x 3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.14,2022,,,,3021 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4125278
18,4157103,2,ROUND PLATE 1X1,Bright Orange,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4157103
19,4504371,4,"ROOF TILE 1X1X2/3, ABS",Bright Orange,54200,Slope 30 1 x 1 x 2/3,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,4248195,54200 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4504371
20,6173925,4,1/4 CIRCLE TILE 1X1,Bright Orange,25269,Tile Round 1 x 1 Quarter,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.05,2022,,,,25269 / Orange,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6173925
21,6229130,2,"PLANT, W/ PLATE 1X1, NO. 1",Dark Green,32607,Plant Plate Round 1 x 1 with 3 Leaves,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,32607 / Green,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6229130
22,4538252,1,STICK/AERIAL,Reddish Brown,3957,Antenna 1 x 4 with Flat Top (stick),In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,,3957a / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4538252
23,4211181,3,PALISADE BRICK 1X4,Reddish Brown,30137,Brick 1 x 4 Log,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.19,2022,,,,30137 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4211181
24,4216581,1,ROUND PLATE 1X1,Reddish Brown,6141,Plate Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,,,,4073 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4216581
25,6284586,6,"FLAT TILE 1X1, ROUND",Reddish Brown,35381,Tile Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.04,2022,,,6133854,98138 / Reddish Brown,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6284586
26,4255416,4,BRICK 2X2,Sand Yellow,3003,Brick 2 x 2,On Pick a Brick (late-2025 listing),0.13,late 2025,,4497068,,3003 / Dark Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4255416
27,4247145,16,BRICK 2X4,Sand Yellow,3001,Brick 2 x 4,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,yes,4497066,,3001 / Dark Tan,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4247145
28,6244904,4,BRICK 1X2 W/O PIN,Transparent,35743,Brick 1 x 2 without Bottom Tube,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.12,2022,,6514262,306510 306540,3065 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6244904
29,6223655,20,ROUND BRICK 1X1,Transparent,35390,Brick Round 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.07,2022,yes,6514232,3006840 306210 306240 6012880,3062 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6223655
30,6245253,4,WALL ELEMENT 1X6X5,Transparent,35286,Panel 1 x 6 x 5,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.89,2022,,6514106,4504229 4544978,59349 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6245253
31,6240204,19,PLATE 1X2,Transparent,28653,Plate 1 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.1,2022,yes,6514001,302310 4167842 622540,3023 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6240204
32,6254254,34,FLAT TILE 1X1,Transparent,35403,Tile 1 x 1,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.06,2022,yes,6581822,4162145 6047501,3070 / Trans-Clear,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6254254
33,403201,1,PLATE 2X2 ROUND,White,4032,Plate Round 2 x 2 with Axle Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,6601914,,4032 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=403201
34,4515347,1,PLATE 4X4 ROUND W. SNAP,White,60474,Plate Round 4 x 4 with Hole,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.21,2022,,6564904,,60474 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=4515347
35,6044691,1,"FLAT TILE 2X2, ROUND",White,14769,Tile Round 2 x 2,In Pick a Brick Bestseller range (2022 listing); still in LEGO sets in 2026,0.08,2022,,6601846,,14769 / White,https://www.lego.com/en-us/pick-and-build/pick-a-brick?query=6044691
