ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3460.dat,71,Medium Stone Grey,3460,86,Light Bluish Gray,3460,3460,4211425,,2026,154,,yes,,0.18,PLATE 1X8,"likely (current, listed 2022)"
3622.dat,72,Dark Stone Grey,3622,85,Dark Bluish Gray,3622,3622,4211104,,2026,107,yes,yes,0.14,0.14,BRICK 1X3,listed on Pick a Brick (2025)
3623.dat,70,Reddish Brown,3623,88,Reddish Brown,3623,3623,4211152,,2026,171,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3623.dat,71,Medium Stone Grey,3623,86,Light Bluish Gray,3623,3623,4211429,3623194,2026,211,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3623.dat,72,Dark Stone Grey,3623,85,Dark Bluish Gray,3623,3623,4211133,,2026,174,yes,yes,0.07,0.07,PLATE 1X3,listed on Pick a Brick (2025)
3666.dat,2,Dark Green,3666,6,Green,3666,3666,366628,,2026,58,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,70,Reddish Brown,3666,88,Reddish Brown,3666,3666,4221590,,2026,158,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,72,Dark Stone Grey,3666,85,Dark Bluish Gray,3666,3666,4211056,,2026,176,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3710.dat,0,Black,3710,11,Black,3710,3710,371026,,2026,390,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,71,Medium Stone Grey,3710,86,Light Bluish Gray,3710,3710,4211445,,2026,338,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,72,Dark Stone Grey,3710,85,Dark Bluish Gray,3710,3710,4211001,,2026,242,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3795.dat,70,Reddish Brown,3795,88,Reddish Brown,3795,3795,4211247,,2026,138,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3832.dat,2,Dark Green,3832,6,Green,3832,3832,383228,,2026,18,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3832.dat,15,White,3832,1,White,3832,3832,383201,6552109,2026,65,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3958.dat,15,White,3958,1,White,3958,3958,4144012,395801 6552116,2026,38,,yes,,0.5,PLATE 6X6,"likely (current, listed 2022)"
3958.dat,71,Medium Stone Grey,3958,86,Light Bluish Gray,3958,3958,4211474,,2026,51,,yes,,0.5,PLATE 6X6,"likely (current, listed 2022)"
4070.dat,0,Black,4070,11,Black,4070,4070,407026,,2026,98,,,,,,likely (in current sets)
4162.dat,0,Black,4162,11,Black,4162,4162,416226,,2026,156,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4162.dat,71,Medium Stone Grey,4162,86,Light Bluish Gray,4162,4162,4211481,,2026,99,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4286.dat,0,Black,4286,11,Black,4286,4286,428626,,2026,46,,yes,,0.11,ROOF TILE 1X3/25°,"likely (current, listed 2022)"
4286.dat,15,White,4286,1,White,4286,4286,428601,,2026,29,,yes,,0.11,ROOF TILE 1X3/25°,"likely (current, listed 2022)"
4477.dat,72,Dark Stone Grey,4477,85,Dark Bluish Gray,4477,4477,4257526,4210816,2026,98,,yes,,0.18,PLATE 1X10,"likely (current, listed 2022)"
4589.dat,0,Black,4589,11,Black,59900,59900,4529236,4518219 458926,2026,119,,yes,,0.07,NOSE CONE SMALL 1X1,"likely (current, listed 2022)"
60592.dat,15,White,60592,1,White,60592,79128,6550187,4521210 6382045,2026,32,,,,,,likely (in current sets)
60593.dat,15,White,60593,1,White,60593,3662,6468341,4536521,2026,24,,,,,,likely (in current sets)
60601.dat,47,Transparent,60601,12,Trans-Clear,60601,7179,6524697,4521209 4537946 4542078 4552035 6024020 6254552 6514136,2026,105,,,,,,likely (in current sets)
60602.dat,47,Transparent,60602,12,Trans-Clear,60602,35287,6581359,4536998 6252258,2026,86,,,,,,likely (in current sets)
6141.dat,29,Light Purple,4073,104,Bright Pink,6141,6141,4517996,,2026,40,,yes,,0.06,PLATE 1X1 ROUND,"likely (current, listed 2022)"
63864.dat,71,Medium Stone Grey,63864,86,Light Bluish Gray,63864,63864,4558169,,2026,134,,yes,,0.11,FLAT TILE 1x3,"likely (current, listed 2022)"
6636.dat,0,Black,6636,11,Black,6636,6636,663626,,2026,199,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
6636.dat,71,Medium Stone Grey,6636,86,Light Bluish Gray,6636,6636,4211549,,2026,134,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
87087.dat,0,Black,87087,11,Black,87087,87087,4558954,,2026,123,,yes,,0.13,BRICK 1X1 W. 1 KNOB,"likely (current, listed 2022)"
91405.dat,72,Dark Stone Grey,91405,85,Dark Bluish Gray,91405,91405,6004927,,2026,13,,yes,,3.04,PLATE 16X16,"likely (current, listed 2022)"
98138.dat,0,Black,98138,11,Black,98138,35381,6284070,6139403,2026,160,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
98138.dat,46,Transparent Yellow,98138,19,Trans-Yellow,98138,35380,6274740,4650500 6514193,2026,70,,yes,,0.04,"FLAT TILE 1X1, ROUND","likely (current, listed 2022)"
98283.dat,19,Brick Yellow,98283,2,Tan,98283,98283,6148262,,2026,30,,yes,,0.14,PROFILE BRICK 1X2 SINGLE GRO.,"likely (current, listed 2022)"
98283.dat,28,Sand Yellow,98283,69,Dark Tan,98283,98283,4646577,,2026,29,,yes,,0.14,Profile brick 1x2 single gro.,"likely (current, listed 2022)"
98283.dat,71,Medium Stone Grey,98283,86,Light Bluish Gray,98283,98283,6000066,,2026,65,,yes,,0.14,Profile brick 1x2 single gro.,"likely (current, listed 2022)"
98283.dat,72,Dark Stone Grey,98283,85,Dark Bluish Gray,98283,98283,6000311,,2026,33,,yes,,0.14,Profile brick 1x2 single gro.,"likely (current, listed 2022)"
