ldraw_part,ldraw_color,lego_color,bricklink_part,bricklink_color_id,bricklink_color,rebrickable_part,design_id,element_id,alt_element_ids,last_set_year,sets_since_2024,pab_2025,pab_2022,pab_price_2025,pab_price_2022,pab_name,availability
3666.dat,2,Dark Green,3666,6,Green,3666,3666,366628,,2026,58,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3666.dat,15,White,3666,1,White,3666,3666,366601,6548265 6552107,2026,245,,yes,,0.14,PLATE 1X6,"likely (current, listed 2022)"
3700.dat,15,White,3700,1,White,3700,3700,370001,6619284,2026,64,,yes,,0.11,"TECHNIC BRICK 1X2, Ø4.9","likely (current, listed 2022)"
3710.dat,15,White,3710,1,White,3710,3710,371001,371051 6548266 6552108,2026,363,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,72,Dark Stone Grey,3710,85,Dark Bluish Gray,3710,3710,4211001,,2026,242,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3710.dat,288,Earth Green,3710,80,Dark Green,3710,3710,6020923,4245568 6013799 6618083,2026,38,yes,yes,0.1,0.11,PLATE 1X4,listed on Pick a Brick (2025)
3795.dat,15,White,3795,1,White,3795,3795,379501,6550146,2027,214,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3795.dat,71,Medium Stone Grey,3795,86,Light Bluish Gray,3795,3795,4211452,3795194,2026,227,,yes,,0.19,PLATE 2X6,"likely (current, listed 2022)"
3832.dat,2,Dark Green,3832,6,Green,3832,3832,383228,,2026,18,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3832.dat,72,Dark Stone Grey,3832,85,Dark Bluish Gray,3832,3832,4210678,,2026,98,,yes,,0.25,PLATE 2X10,"likely (current, listed 2022)"
3958.dat,15,White,3958,1,White,3958,3958,4144012,395801 6552116,2026,38,,yes,,0.5,PLATE 6X6,"likely (current, listed 2022)"
4162.dat,71,Medium Stone Grey,4162,86,Light Bluish Gray,4162,4162,4211481,,2026,99,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4162.dat,72,Dark Stone Grey,4162,85,Dark Bluish Gray,4162,4162,4211008,5210651,2026,81,,yes,,0.14,FLAT TILE 1X8,"likely (current, listed 2022)"
4460b.dat,72,Dark Stone Grey,4460a,85,Dark Bluish Gray,4460b,4460,4221745,,2026,34,,yes,,0.18,ROOF TILE 1X2X3/73°,"likely (current, listed 2022)"
4477.dat,15,White,4477,1,White,4477,4477,447701,6550148 6552113,2026,97,,yes,,0.18,PLATE 1X10,"likely (current, listed 2022)"
4477.dat,72,Dark Stone Grey,4477,85,Dark Bluish Gray,4477,4477,4257526,4210816,2026,98,,yes,,0.18,PLATE 1X10,"likely (current, listed 2022)"
4589.dat,72,Dark Stone Grey,4589,85,Dark Bluish Gray,59900,59900,4529240,4210647 4518486,2026,62,,yes,,0.07,NOSE CONE SMALL 1X1,"likely (current, listed 2022)"
4740.dat,72,Dark Stone Grey,4740,85,Dark Bluish Gray,4740,4740,4211010,,2026,27,,yes,,0.07,PARABOLA Ø16,"likely (current, listed 2022)"
54200.dat,4,Bright Red,54200,5,Red,54200,54200,4504379,4244371 5074621,2026,124,,yes,,0.06,"ROOF TILE 1X1X2/3, ABS","likely (current, listed 2022)"
60479.dat,15,White,60479,1,White,60479,60479,4514842,6548269 6552130,2026,59,,yes,,0.25,PLATE 1X12,"likely (current, listed 2022)"
6141.dat,4,Bright Red,4073,5,Red,6141,6141,614121,,2026,127,,yes,,0.06,ROUND PLATE 1X1,"likely (current, listed 2022)"
63864.dat,71,Medium Stone Grey,63864,86,Light Bluish Gray,63864,63864,4558169,,2026,134,,yes,,0.11,FLAT TILE 1x3,"likely (current, listed 2022)"
6541.dat,15,White,6541,1,White,6541,6541,654101,6609542,2026,45,,yes,,0.07,TECHNIC BRICK 1X1,"likely (current, listed 2022)"
6636.dat,19,Brick Yellow,6636,2,Tan,6636,6636,4157277,4108151,2026,74,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
6636.dat,71,Medium Stone Grey,6636,86,Light Bluish Gray,6636,6636,4211549,,2026,134,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
6636.dat,72,Dark Stone Grey,6636,85,Dark Bluish Gray,6636,6636,4210651,,2026,92,,yes,,0.14,FLAT TILE 1X6,"likely (current, listed 2022)"
91405.dat,72,Dark Stone Grey,91405,85,Dark Bluish Gray,91405,91405,6004927,,2026,13,,yes,,3.04,PLATE 16X16,"likely (current, listed 2022)"
92950.dat,15,White,92950,1,White,92950,92950,4620761,6601942,2026,24,,yes,,0.21,BRICK 1X6 W/INSIDE BOW,"likely (current, listed 2022)"
